task_id,task_type,task_token,reference_value
0,0,i can only be so abrasive towards people like brock lawly and the numerous nameless fundies before i start feeling lame,0
1,0,i do for a living and my understanding that to be scared is normal and human i can never help but despise myself for feeling frightened no matter what the situation,4
2,0,i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know,0
3,0,"There is a difference between a ""film,"" and a ""movie."" A film, regardless of quality, is ready for public consumption. A movie is what a group of friends gets together to make over the course of a weekend with a camcorder. In my time as a viewer, I have seen may examples of both.<br /><br />On September 19, I attended a screening of writer/director Jon Satejowski's ""Donnybrook."" Now having read the script and having seen two different cuts (a rough cut and the ""finished"" product) of this piece, I can safely say it is a movie. And a student movie, at that. It is, for lack of a better word, competent, which is to say, the director knew how to push record on a camera and capture moving images. The visuals are, for the most part, static and unimpressive, and dialog scenes are reduced to mostly long shots, with little to no close up shots to allow the audience to establish a relationship with the characters. I understand that this is a modestly budgeted film, but some visual flair would have been appreciated, and it would have gone a long way toward keeping the audience interested.<br /><br />Granted, there have been independent pictures that have shown that limited camera work can be over come with well a well written, engrossing story and some sharp dialog. Steven Soderbergh's ""sex, lies, and videotape"" comes immediately to mind. This movie, however, has neither. The main story is weak and unfocused. If the main plot is Davie trying to mend his relationship with his father, then I feel this movie misses the point. What I got out of it is that Davie's main aspiration is to ""change the face of rock 'n' roll."" However, we see very little activity on his part to show this. While there is one dream sequence at the beginning, and an impromptu performance of his at the end, all we seem to get are scenes of Davie listening to music or casually strumming a guitar. We are simply told that Davie has played a lot of gigs, but we never see him in full rock out mode. Next time, SHOW don't TELL the audience. Anyone who has taken a creative writing class knows this. Also, Davie doesn't look like someone that would have been big in the glam rock era of the 1970's; he looks like he'd be more comfortable in the early days of rock 'n' roll, posing as James Dean's less talented brother. In the meantime, the rest of the movies events seem to happen at random to rather cliché characters, and story threads, that have little or nothing to do with the slim main story, are brought up and abandoned with alarming frequency (i.e. the subplot involving Terry's father). If I want to see a film with this kind of haphazard construction, I will consider watching ""Napolean Dynamite"" again, a film I could barely make it through the first time.<br /><br />As for the above mentioned dialog scenes, I guess I should mention that they are few and extremely far between. Is it too much to ask for characters who do speak? I don't think it is. When the characters do speak, it is in short, choppy sentences; collections of oh so insightful questions, angered grunts or wildly over-the-top outbursts. These characters simply do not behave like normal, rational people. Working with material like this, it is easy to understand why there is only one good performance in the film, Al Hudson's, and that's just because he's doing a poor imitation of Sam Elliott for his time on screen. A good director, or at least one who is ready for the challenge of a feature director, would have been able to spot these problems and get the writer and camera people to correct them. However, with Satejowski being so close to the material, he simply doesn't see them, or, if he does, he is unwilling to take the necessary steps to fix them because it'll hurt his creative vision. Being unable or unwilling to deal with criticism in a constructive manner, is the mark of a self-indulgent, misguided fool. Just ask Rob Schneider. <br /><br />In the end, we are left with a poor, high-school-set, knock-off of Zach Braff's amazing ""Garden State"" combined with the equally amazing ""Velvet Goldmine,"" two films far more worthy of your time.<br /><br />Now before any of the cast or crew come out of the word work to take me to task for this review, allow me to offer this. The best I can do is compliment Mr. Satejowski for having the ambition to make a film of his own and to put it out there for an audience to see. However, the hopes that this movie will be picked up and distributed are simply deluded visions of grandeur. This is a student movie, nothing more, nothing less. If the movie holds any promise (and let's face it, at this point, it isn't going to come from the acting, writing, or directing), it is this: If, IF, the people associated with this film are willing, then, please, learn from this movie, file it away, and use the lessons learned on your next attempt; don't attack your critics, or have friend or family do it for you. If you are able to do this, maybe the next one will be worthy of distribution, worthy of being called a ""film.""<br /><br />I am your audience, and I am willing to watch.",0
4,0,i could almost spy tiny ponies lost in their depths and feel a cold powerful wind in control but wild with a dark passion,3
5,0,i can feel it but i dont believe it will be tragic,0
6,0,i really feel like kissing the exochocolate because ya allah we are so flawless,1
7,0,i do feel that its pretty strange that women are expected to be hairless from the nose down and yet no one bats an eye at a dude with a hairy gorilla ass,5
8,0,i cut my hair the day before we left for cambodia but i didnt feel like i really got to experience having shorter hair because it was so hot that it was up all of the time,2
9,0,i told her everything i was feeling every strange thing that was bugging me,4
10,0,"""The Danish Bladerunner"" is boldly stated on the box. Are you kidding me?! This film is a complete drag. When I'm thirsty and go for a soda in the kitchen, I usually pause the vcr, so I won't miss anything. Not this time. I actually found myself looking long and hard in the fridge, just so I wouldn't have to go back. Why the hell is there not ONE sciencefiction-scriptwriter out there who has the vaguest clue about how computers work? It's mindboggling. One of the premises of film, is that our hero (who's a hacker), has a little computerassistant to help him (the Microsoft Office paperclip finally caught on in the future). When he loses the assistant in the movie, he's helpless and can't get into any computers. HE'S A HACKER! It's like saying, that you can't drive your car, if you don't have your lucky ""driving-cap"" on. I won't even go into the lightning-effect when he recieves electroshock...",0
11,0,i feel so satisfied after eating all that delicious nutrient dense food that the next day i always feel great,1
12,0,when i saw in the newspapers,0
13,0,i feel angry ashamed and sad,3
14,0,i play the first chord turn it loud and it still feels like a rebellious thing to do playing a bit louder than you should he added,3
15,0,i feel stubborn and brittle and fragile like a misty old window unprotected from things it doesn t even know are coming,3
16,0,i make myself believe that the guy not only likes me but that he likes me so much that he actually fears to talk to me and feels intimidated by me,4
17,0,i feel that what i find i should share and unfortunately it is not pleasant,1
18,0,"Watching CBS's ""Surrender, Dorothy"", I kept wondering why Diane Keaton would want to be in it (not because it's a television movie--with the dearth of enticing roles for slightly older actresses, it isn't any wonder why Academy Award winning performers such as Keaton turn to TV--but because it offers no opportunities for Keaton to shine). A single mother, grieving the sudden death of her twenty-something daughter, imposes upon--and gradually becomes friends with--the group of young people her daughter was close to at the time of her accident. Adapted from the novel, this teleplay gives us a group of self-absorbed characters one would cross the street to avoid. Aside from being coarse and dim, these phony people are incredibly unconvincing, as is the tidy scenario and the bungalow near the beach where the kids reside (one young man, who wears muscle shirts to tell us he's gay, hears Diane Keaton say, ""Surrender, Dorothy"" and actually asks, ""That's from ""The Wizard of Oz"", right?""...no, genius, it's from ""Citizen Kane""!). Keaton may have wanted to do this material based on the subject matter of confronting death. She tries turning this distinctly unlikable woman into a shadow of her own personage (lots of kooky outfits), but it doesn't sit well with the viewer since Keaton has always been warmly likable and flexible in a flaky way. Here, she's a crazed harpy who doesn't learn many lessons on her journey of self-discovery (the movie quickly forgets it's about a dead young woman and becomes an odyssey for the nervous wreck of a mom, who appears to be an overage hippie who has never lost anyone close to her). This is the kind of film actors promote on talk shows with the caveat, ""It should help a lot of grieving mothers out there"". I can't imagine it helping anyone since it is intrinsically a downer, muddled and baffling. It's deranged.",0
19,0,"I saw this movie while surfing through infomercials and late-night 80's sitcoms on tv one night at 2 in the morning. I must say, I didn't expect much, and I didn't get much. Although Rose McGowan is hot, her performance and the performance of the rest of the cast was not Oscar-worthy, to say the least. This movie has its ups and downs, and does have a nice couple of twists at the end, but in all honesty it was awful. Not even a typical slasher movie. No gore, no sex, no nudity, no real violence. Just bad acting. I'd give it a 3 out of 10.",0
20,0,i know that i will continue writing on top of whatever new job i might choose or stumble upon but i truly hope that i will be able to write a story that might inspire or help someone in small way someday and i will keep this thought in mind whenever i do feel discouraged or frazzled,0
21,0,i say this with an honest heart i actually feel enthralled to want to see the rest of it whilst waiting for it to load on my computer,5
